Asset Turnover,Current Ratio,Diluted Normalised EPS,Diluted Normalised EPS Growth (%),Net Profit Margin,Operating Margin,Quick Ratio,Return on Assets (ROA),Return on Equity (ROE),Year,Company
0.751,1.145,0.18,6.75,0.074,0.085,0.875,0.055,0.243,2022,ST Engineering
0.709,0.765,0.16,-10.58,0.06,0.078,0.555,0.043,0.222,2023,ST Engineering
0.666,0.905,0.19,16.71,0.06,0.085,0.646,0.04,0.241,2024,ST Engineering
0.3125,0.678,0.05,28.455000000000002,0.064,0.144,0.652,0.029,0.05125,2020,Singtel
0.323,0.715,0.06,16.73,0.036,0.035,0.685,0.012,0.021,2021,Singtel
0.316,0.898,0.11,89.33,0.128,0.084,0.868,0.04,0.071,2022,Singtel
0.306,1.034,0.13,24.37,0.153,0.077,0.992,0.047,0.082,2023,Singtel
0.305,1.354,0.11,-16.61,0.057,-0.007,1.315,0.017,0.031,2024,Singtel
1.1027500000000001,1.747,0.0,-64.91000000000001,0.014,0.022,1.322,-0.0275,-0.0605,2020,GSS Energy
1.179,1.551,0.01,175.37,0.049,0.066,1.195,0.058,0.108,2021,GSS Energy
1.02,1.609,0.01,-20.9,0.043,0.052,0.953,0.044,0.085,2022,GSS Energy
1.102,1.282,-0.02,-372.23,-0.116,-0.004,0.646,-0.128,-0.251,2023,GSS Energy
1.11,1.154,-0.01,-41.88,-0.076,-0.033,0.789,-0.084,-0.184,2024,GSS Energy
